,slot,flight,eta,fpfs,time,priority,margins,airline,cost,num,type
0,0,FE0,0,0,0,0.6872743626616786,26,E,0.6872743626616786,0,B752
1,1,FA1,1,2,2,1.5217670685758142,42,A,1.5217670685758142,1,B735
2,2,FA2,2,4,4,0.7432433665773618,42,A,0.7432433665773618,2,A319
3,3,FD3,3,6,6,0.6484269267182069,44,D,0.6484269267182069,3,E190
4,4,FE4,4,8,8,1.470239669835797,31,E,1.470239669835797,4,A320
5,5,FB5,5,10,10,1.434629801670468,42,B,1.434629801670468,5,B763
6,6,FB6,6,12,12,1.6868756725881477,31,B,1.6868756725881477,6,A319
7,7,FB7,7,14,14,1.5237409721651607,22,B,1.5237409721651607,7,A321
8,8,FD8,8,16,16,1.368004425035712,51,D,1.368004425035712,8,A321
9,9,FB9,9,18,18,1.418851145556086,35,B,1.418851145556086,9,B744
10,10,FA10,10,20,20,0.6550500747803966,31,A,0.6550500747803966,10,A321
11,11,FC11,11,22,22,1.5410723763732417,37,C,1.5410723763732417,11,A321
12,12,FB12,12,24,24,1.531307849670028,38,B,1.531307849670028,12,B738
13,13,FB13,13,26,26,0.7431040851203986,51,B,0.7431040851203986,13,A332
14,14,FD14,14,28,28,0.5685571239990284,48,D,0.5685571239990284,14,E190
15,15,FD15,15,30,30,0.932129057953224,46,D,0.932129057953224,15,A321
16,16,FE16,16,32,32,0.7966177147105137,51,E,0.7966177147105137,16,AT72
17,17,FA17,17,34,34,0.6963431899975745,47,A,0.6963431899975745,17,E190
18,18,FA18,18,36,36,1.4468633434537739,39,A,1.4468633434537739,18,B738
19,19,FC19,19,38,38,0.5758151023452168,59,C,0.5758151023452168,19,AT43
20,20,FD20,20,40,40,1.6361765781604523,59,D,1.6361765781604523,20,A319
21,21,FD21,21,42,42,0.7889634036147758,38,D,0.7889634036147758,21,B735
22,22,FE22,22,44,44,0.5917739459064029,58,E,0.5917739459064029,22,A320
23,23,FB23,23,46,46,0.637941372595643,59,B,0.637941372595643,23,B734
24,24,FC24,24,48,48,0.582917324062662,45,C,0.582917324062662,24,B738
25,25,FD25,25,50,50,0.7774862796138396,54,D,0.7774862796138396,25,B735
26,26,FE26,26,52,52,0.8093817847732104,49,E,0.8093817847732104,26,B734
27,27,FC27,27,54,54,0.6537860908023795,63,C,0.6537860908023795,27,A332
28,28,FC28,28,56,56,1.4183325244990017,52,C,1.4183325244990017,28,A319
29,29,FA29,29,58,58,1.3605384700265855,69,A,1.3605384700265855,29,AT43
30,30,FA30,30,60,60,1.5782441647027983,49,A,1.5782441647027983,30,AT43
31,31,FB31,31,62,62,1.6043951192701746,75,B,1.6043951192701746,31,A320
32,32,FC32,32,64,64,0.5829971630417052,72,C,0.5829971630417052,32,AT72
33,33,FC33,33,66,66,0.6694783654739577,56,C,0.6694783654739577,33,AT72
34,34,FE34,34,68,68,1.5176050296290506,51,E,1.5176050296290506,34,E190
35,35,FC35,35,70,70,1.5923557558398538,65,C,1.5923557558398538,35,A332
36,36,FD36,36,72,72,0.6152385958543961,64,D,0.6152385958543961,36,A319
37,37,FB37,37,74,74,0.6216720326756079,63,B,0.6216720326756079,37,B763
38,38,FE38,38,76,76,0.48265063932495855,71,E,0.48265063932495855,38,A319
39,39,FA39,39,78,78,0.5841712493979677,73,A,0.5841712493979677,39,AT43
40,40,FA40,40,80,80,0.6982074527831871,64,A,0.6982074527831871,40,A319
41,41,FB41,41,82,82,1.6490144952833217,66,B,1.6490144952833217,41,B734
42,42,FC42,42,84,84,1.4003556638365091,68,C,1.4003556638365091,42,B763
43,43,FE43,43,86,86,1.445849668008424,75,E,1.445849668008424,43,B744
44,44,FC44,44,88,88,0.6496988796563592,73,C,0.6496988796563592,44,AT72
45,45,FB45,45,90,90,0.6353164267687693,79,B,0.6353164267687693,45,B763
46,46,FE46,46,92,92,1.571860771920144,73,E,1.571860771920144,46,A320
47,47,FD47,47,94,94,0.6042298491532478,89,D,0.6042298491532478,47,AT72
48,48,FA48,48,96,96,0.6358990838533674,69,A,0.6358990838533674,48,A320
49,49,FA49,49,98,98,1.6266041212932907,68,A,1.6266041212932907,49,B734
